english,telugu
How are you?,మీరు ఎలా ఉన్నారు?
I am fine.,నేను బాగున్నాను.
What is your name?,మీ పేరు ఏమిటి?
My name is Ravi.,నా పేరు రవి.
Where do you live?,మీరు ఎక్కడ నివసిస్తున్నారు?
I live in India.,నేను భారతదేశంలో నివసిస్తున్నాను.
Good morning.,శుభోదయం.
Good evening.,శుభ సాయంత్రం.
Good night.,శుభరాత్రి.
Thank you.,ధన్యవాదాలు.
You are welcome.,మీకు స్వాగతం.
Please help me.,దయచేసి నాకు సహాయం చేయండి.
I am a student.,నేను విద్యార్థిని.
I like music.,నాకు సంగీతం ఇష్టం.
I love reading books.,నాకు పుస్తకాలు చదవడం చాలా ఇష్టం.
The weather is beautiful today.,ఈ రోజు వాతావరణం చాలా అందంగా ఉంది.
I am happy today.,నేను ఈ రోజు సంతోషంగా ఉన్నాను.
I am learning Telugu.,నేను తెలుగు నేర్చుకుంటున్నాను.
I want to learn English.,నేను ఇంగ్లీష్ నేర్చుకోవాలనుకుంటున్నాను.
Let us go for a walk.,మనము నడకకు వెళ్దాం.
Please sit here.,దయచేసి ఇక్కడ కూర్చోండి.
Come with me.,నాతో రండి.
Wait for me.,నా కోసం వేచి ఉండండి.
I will call you later.,నేను మీకు తర్వాత ఫోన్ చేస్తాను.
See you tomorrow.,రేపు కలుద్దాం.
Have a nice day.,మీ రోజు ఆనందంగా గడవాలి.
Take care.,జాగ్రత్తగా ఉండండి.
I miss you.,నేను నిన్ను మిస్ అవుతున్నాను.
You make me smile.,నువ్వు నన్ను నవ్విస్తావు.
You are very sweet.,నువ్వు చాలా మధురంగా ఉన్నావు.
You have a lovely smile.,నీ నవ్వు చాలా అందంగా ఉంది.
Your smile brightens my day.,నీ నవ్వు నా రోజును వెలిగిస్తుంది.
You are special to me.,నువ్వు నాకు ప్రత్యేకమైనవాడివి.
I am happy when I talk to you.,నీతో మాట్లాడినప్పుడు నాకు సంతోషంగా ఉంటుంది.
I like spending time with you.,నీతో సమయం గడపడం నాకు ఇష్టం.
You are always in my thoughts.,నువ్వు ఎప్పుడూ నా ఆలోచనల్లో ఉంటావు.
You look wonderful today.,నువ్వు ఈ రోజు చాలా అందంగా కనిపిస్తున్నావు.
I was waiting to see your smile.,నీ నవ్వు చూడాలని నేను ఎదురుచూస్తున్నాను.
Talking to you is my favorite part of the day.,నీతో మాట్లాడటం నా రోజులో నాకు ఇష్టమైన సమయం.
You make ordinary moments feel special.,నువ్వు సాధారణ క్షణాలను కూడా ప్రత్యేకంగా అనిపించేలా చేస్తావు.
I would love to have coffee with you.,నీతో కలిసి కాఫీ తాగాలని నాకు చాలా ఇష్టం.
Can I sit beside you?,నేను నీ పక్కన కూర్చోవచ్చా?
